molecule_chembl_id,canonical_smiles,standard_value,standard_units,MOLECULAR WEIGHT,PSA,logP,HBA,HBD
CHEMBL499444,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccccc1,50000.0,nM,298.294,83.83,2.974800000000002,4.0,2.0
CHEMBL221366,O=C(Oc1cccnc1)c1cccs1,500.0,nM,205.238,39.19,2.3623000000000003,4.0,0.0
CHEMBL518593,C(\C1=C2Sc3ccccc3N2CC1)=C1/CC[n+]2c1sc1ccccc12,10500.0,nM,361.515,7.12,5.203500000000004,3.0,0.0
CHEMBL478119,CCN1/C(=C\C=C\C2=C/C(=C/c3sc4ccccc4[n+]3CC)CC(C)C2)Sc2ccccc21,2000.0,nM,471.71500000000026,7.12,7.978200000000007,3.0,0.0
CHEMBL478987,CCN1/C(=C\C=c2/s/c(=C\c3sc4ccccc4[n+]3CC)n(CC)c2=O)Sc2ccccc21,10000.0,nM,492.71500000000026,29.12,4.534700000000004,6.0,0.0
CHEMBL479172,CCC(=C\c1sc2c3ccccc3ccc2[n+]1CC)/C=C1/Sc2cc(C)c(C)cc2N1CC,5400.0,nM,471.71500000000026,7.12,8.245740000000007,3.0,0.0
CHEMBL549646,O=c1cc(CNCc2ccc(Cl)cc2)oc2ccc(O)c(O)c12,50000.0,nM,331.7550000000001,82.7,3.147400000000002,5.0,3.0
CHEMBL560136,O=c1cc(CNCc2cccc(Cl)c2)oc2ccc(O)c(O)c12,50000.0,nM,331.7550000000001,82.7,3.147400000000002,5.0,3.0
CHEMBL560392,N#Cc1cccc(CNCc2cc(=O)c3c(O)c(O)ccc3o2)c1,50000.0,nM,322.32,106.49000000000001,2.365680000000001,6.0,3.0
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,50000.0,nM,302.23800000000006,131.36,1.988,7.0,5.0
CHEMBL556501,O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(O)cc(O)c12,50000.0,nM,314.249,109.36000000000001,2.3055000000000008,7.0,3.0
CHEMBL550256,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,20900.0,nM,426.80800000000016,120.36000000000001,4.514800000000003,7.0,4.0
CHEMBL551130,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,50000.0,nM,426.80800000000016,120.36000000000001,4.514800000000003,7.0,4.0
CHEMBL551131,N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3c2)c1,25400.0,nM,417.3730000000001,144.14999999999998,3.733080000000002,8.0,4.0
CHEMBL551334,O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3ccc(Cl)cc3)cc(O)c12,50000.0,nM,438.81900000000013,98.36000000000001,4.832300000000003,7.0,2.0
CHEMBL560933,O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,50000.0,nM,438.81900000000013,98.36000000000001,4.832300000000003,7.0,2.0
CHEMBL551529,N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc5c(c4)OCO5)oc3c2)c1,42900.0,nM,429.3840000000002,122.15,4.050580000000002,8.0,2.0
CHEMBL1448,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,40000.0,nM,327.12300000000005,92.47,3.859500000000001,4.0,2.0
CHEMBL301982,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@@]21C,10300.0,nM,450.6190000000003,74.6,6.697700000000006,3.0,2.0
CHEMBL54804,COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,5500.0,nM,464.64600000000036,63.60000000000001,6.786100000000007,4.0,1.0
CHEMBL432519,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC(=O)[C@H](C)C[C@H]4[C@]3(C)CC[C@@]21C,9900.0,nM,420.59300000000025,54.37,6.421900000000006,3.0,1.0
CHEMBL1092796,CC1=CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,2600.0,nM,404.5940000000003,37.3,7.1630000000000065,2.0,1.0
CHEMBL1092797,Cc1c(O)c(O)cc2c1CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@]12C,21700.0,nM,452.63500000000033,77.76,6.643920000000007,3.0,3.0
CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,23500.0,nM,368.3850000000001,96.22000000000001,3.852600000000003,6.0,3.0
CHEMBL1277944,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccccc3)N=C2c2ccccc2)cc1,18000.0,nM,368.39200000000005,69.97,4.219300000000003,3.0,1.0
CHEMBL1278125,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(Cl)cc3)N=C2c2ccccc2)cc1,13900.0,nM,402.83700000000005,69.97,4.872700000000004,3.0,1.0
CHEMBL1276871,COc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,12000.0,nM,398.4180000000002,79.19999999999999,4.227900000000003,4.0,1.0
CHEMBL1277046,N#Cc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,5500.0,nM,393.40200000000016,93.75999999999999,4.090980000000004,4.0,1.0
CHEMBL1277047,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(OC(F)(F)F)cc3)N=C2c2ccccc2)cc1,42000.0,nM,452.38800000000003,79.2,5.117900000000003,4.0,1.0
CHEMBL1277135,O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc(Cl)c3)N=C2c2ccccc2)cc1,10800.0,nM,402.83700000000005,69.97,4.872700000000004,3.0,1.0
CHEMBL1277136,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(Cl)c(Cl)c3)N=C2c2ccccc2)cc1,24300.0,nM,437.2820000000001,69.97,5.526100000000005,3.0,1.0
CHEMBL1277227,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(F)cc3)N=C2c2ccccc2)cc1,6800.0,nM,386.38200000000006,69.97,4.358400000000003,3.0,1.0
CHEMBL1277228,O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc([N+](=O)[O-])c3)N=C2c2ccccc2)cc1,8400.0,nM,413.38900000000007,113.11,4.127500000000002,5.0,1.0
CHEMBL197310,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CO)[C@@H]1CC2,220800.0,nM,302.45799999999997,40.46,4.518200000000004,2.0,2.0
CHEMBL1277661,CC(C)c1cc2c(cc1O)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC2,233400.0,nM,302.458,40.46,4.516600000000004,2.0,2.0
CHEMBL197308,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,49600.0,nM,286.459,20.23,5.545800000000005,1.0,1.0
CHEMBL1277662,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(C=O)[C@@H]1CC2,163200.0,nM,300.442,37.3,4.7248000000000046,2.0,1.0
CHEMBL1277754,CC(=O)Oc1cc2c(cc1C(C)C)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CO,128900.0,nM,344.4950000000002,46.53,4.737900000000005,3.0,1.0
CHEMBL12798,COC(=O)[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,207000.0,nM,314.4690000000001,26.3,4.993300000000005,2.0,0.0
CHEMBL512164,C=C[C@@]1(C)CC[C@H]2C(=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]23C)C1,283500.0,nM,302.4580000000001,37.3,5.206200000000004,1.0,1.0
CHEMBL1277840,C=C1CC[C@H]2[C@](C)(CO)CCC[C@]2(C)[C@H]1CC/C(C)=C\CO,137700.0,nM,306.48999999999995,40.46,4.476400000000005,2.0,2.0
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,280800.0,nM,270.24,90.9,2.576800000000001,5.0,3.0
CHEMBL151,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,20000.0,nM,286.23900000000003,111.13000000000001,2.2824000000000004,6.0,4.0
CHEMBL71893,CC(C)C1=CC2=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1,189100.0,nM,302.458,37.3,5.206200000000004,1.0,1.0
CHEMBL1774322,Nc1nc(CSc2nnc(-c3cccc4ccccc34)n2-c2ccccc2)cs1,58350.0,nM,415.5470000000001,69.62,5.4185000000000025,7.0,1.0
CHEMBL1774323,COc1cc(C2C(C(=O)c3ccc(OCC(C)C)cc3C)=C(O)C(=O)N2CCN(C)C)ccc1O,62790.0,nM,482.5770000000003,99.54,3.883920000000003,7.0,2.0
CHEMBL1774324,Cc1nc(C)c(C(=O)C2=C(O)C(=O)N(CCCN3CCOCC3)C2c2cccc([N+](=O)[O-])c2)s1,101380.0,nM,486.55000000000024,126.10999999999999,2.9687400000000013,9.0,1.0
CHEMBL1774325,COc1cc(/C=N/NC(=O)/C(=C\c2ccccc2)NC(=O)c2ccccc2)cc(OC)c1O,77090.0,nM,445.47500000000025,109.25,3.330600000000002,6.0,3.0
CHEMBL1774326,O=C(CSc1ncnc2c1sc1nc(N3CCOCC3)c3c(c12)CCCC3)NCc1ccco1,90720.0,nM,495.63000000000045,93.38000000000001,3.956400000000003,9.0,1.0
CHEMBL1350514,Cc1ccc(C(=O)N/C(=C\c2ccc(-c3cccc([N+](=O)[O-])c3)o2)C(=O)NCCCN(C)C)cc1,38570.0,nM,476.5330000000003,117.71999999999998,4.002020000000003,6.0,2.0
CHEMBL1315054,Cc1ccc(C(=O)N/C(=C\c2ccc(-c3ccccc3[N+](=O)[O-])o2)C(=O)NCCCN(C)C)cc1,41390.0,nM,476.53300000000036,117.71999999999998,4.002020000000003,6.0,2.0
CHEMBL510508,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc4oc5c(Oc6cc(O)cc(O)c6)c(O)cc(O)c5c4c2O3)c1,174600.0,nM,374.30100000000004,160.07,3.210399999999999,9.0,7.0
CHEMBL2391422,Oc1cc(O)cc(Oc2c(O)cc(Oc3c(O)cc(O)cc3O)cc2O)c1,164700.0,nM,370.2690000000001,153.70999999999998,4.323800000000002,9.0,5.0
CHEMBL559870,Oc1cc(O)c2oc3cc(O)c4oc5cc(O)cc(O)c5oc4c3oc2c1,158300.0,nM,270.23999999999995,94.83,1.3654999999999993,5.0,3.0
CHEMBL40275,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,132000.0,nM,496.3800000000002,198.75999999999996,4.814000000000007,12.0,8.0
CHEMBL2391423,Oc1cc(O)cc(Oc2c(Oc3c(O)cc(O)cc3O)cc(O)c3c2Oc2c(O)cc(O)cc2O3)c1,112200.0,nM,496.3800000000002,198.75999999999996,4.814000000000007,12.0,8.0
CHEMBL456228,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(O)cc4O)cc2O3)c1,112000.0,nM,254.24099999999999,70.67,2.871200000000001,4.0,2.0
CHEMBL508791,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1,68100.0,nM,302.28200000000004,96.22000000000001,2.518500000000001,6.0,3.0
CHEMBL399121,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,60000.0,nM,372.2850000000001,149.07,3.610500000000002,9.0,6.0
CHEMBL2441741,CC(C)C[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,230.0,nM,413.4990000000002,78.0,1.3947000000000003,5.0,0.0
CHEMBL3099547,CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCN(CCc4ccccc4)CC3)ccc21,13860.0,nM,449.5320000000002,78.0,2.5054000000000007,5.0,0.0
CHEMBL3099546,CN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3Cc2ccc3ccccc3c2)CC1,82910.0,nM,399.47200000000015,78.0,1.3521999999999996,5.0,0.0
CHEMBL3099545,CN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3Cc2ccccc2)CC1,67200.0,nM,323.3740000000001,78.0,-0.21820000000000017,5.0,0.0
